ts,agent_id,cvip,cvip_x,cvip_y,cvip_z
1829995,0,502.1322032192853,192.8539581298828,-44.17219543457031,-499.7887268066406
1829996,0,502.1261356798093,192.8539581298828,-44.17219543457031,-499.8239440917969
1829997,0,502.12002781175966,192.8539581298828,-44.17219543457031,-499.865234375
1829998,0,502.1139418312305,192.8539581298828,-44.17219543457031,-499.91265869140625
1829999,0,502.1078489317263,192.8539581298828,-44.17219543457031,-499.9661865234375
1830000,0,502.10178103796426,192.8539581298828,-44.17219543457031,-500.0258483886719
1830001,0,502.0956788590649,192.8539581298828,-44.17219543457031,-500.0915832519531
1830002,0,502.0895742900494,192.8539581298828,-44.17219543457031,-500.1634216308594
1830003,0,502.083468890032,192.8539581298828,-44.17219543457031,-500.2413635253906
1830004,0,502.09161804712136,192.8539581298828,-44.17219543457031,-500.3254699707031
1830005,0,502.13332157967005,192.8539581298828,-44.17219543457031,-500.4156494140625
1830006,0,502.2001156659363,192.8539581298828,-44.17219543457031,-500.5119323730469
1830007,0,502.28621762597766,192.8539581298828,-44.17219543457031,-500.61431884765625
1830008,0,502.3932478495504,192.8539581298828,-44.17219543457031,-500.7228088378906
1830009,0,502.5098648483234,192.8539581298828,-44.17219543457031,-500.8373718261719
1830010,0,502.63473854482885,192.8539581298828,-44.17219543457031,-500.9580383300781
1830011,0,502.76686227094524,192.8539581298828,-44.17219543457031,-501.0848083496094
1830012,0,502.9055261630318,192.8539581298828,-44.17219543457031,-501.2176513671875
1830013,0,503.0503096838882,192.8539581298828,-44.17219543457031,-501.3565979003906
1830014,0,503.2008982874174,192.8539581298828,-44.17219543457031,-501.5016174316406
1830015,0,503.35718351594915,192.8539581298828,-44.17219543457031,-501.65277099609375
1830016,0,503.51901660454223,192.8539581298828,-44.17219543457031,-501.80999755859375
1830017,0,503.68636367909767,192.8539581298828,-44.17219543457031,-501.9732971191406
1830018,0,503.85919708295825,192.8539581298828,-44.17219543457031,-502.14263916015625
1830019,0,504.0375995164639,192.8539581298828,-44.17219543457031,-502.3180847167969
1830020,0,504.22157978561785,192.8539581298828,-44.17219543457031,-502.4996032714844
1830021,0,504.4112113074109,192.8539581298828,-44.17219543457031,-502.6872253417969
1830022,0,504.60650896610946,192.8539581298828,-44.17219543457031,-502.88092041015625
1830023,0,504.8075182429852,192.8539581298828,-44.17219543457031,-503.0806884765625
1830024,0,505.01425319281043,192.8539581298828,-44.17219543457031,-503.2864990234375
1830025,0,505.22681330217864,192.8539581298828,-44.17219543457031,-503.4984130859375
1830026,0,505.4452352397965,192.8539581298828,-44.17219543457031,-503.7164306640625
1830027,0,505.6694602076675,192.8539581298828,-44.17219543457031,-503.9404602050781
1830028,0,505.89957790692364,192.8539581298828,-44.17219543457031,-504.1705627441406
1830029,0,506.1356720068774,192.8539581298828,-44.17219543457031,-504.40679931640625
1830030,0,506.3776138389742,192.8539581298828,-44.17219543457031,-504.6490173339844
1830031,0,506.6255421904867,192.8539581298828,-44.17219543457031,-504.8973388671875
1830032,0,506.8794132258317,192.8539581298828,-44.17219543457031,-505.1517028808594
1830033,0,507.13926934088494,192.8539581298828,-44.17219543457031,-505.4121398925781
1830034,0,507.40509221128156,192.8539581298828,-44.17219543457031,-505.6786193847656
1830035,0,507.6769217295533,192.8539581298828,-44.17219543457031,-505.951171875
1830036,0,507.95476711994377,192.8539581298828,-44.17219543457031,-506.22979736328125
