ts,agent_id,cvip,cvip_x,cvip_y,cvip_z
1232101,0,502.1322032192853,192.8539581298828,-44.17219543457031,-499.7887268066406
1232102,0,502.1261356798093,192.8539581298828,-44.17219543457031,-499.8239440917969
1232103,0,502.12002781175966,192.8539581298828,-44.17219543457031,-499.865234375
1232104,0,502.1139418312305,192.8539581298828,-44.17219543457031,-499.91265869140625
1232105,0,502.1078489317263,192.8539581298828,-44.17219543457031,-499.9661865234375
1232106,0,502.10178103796426,192.8539581298828,-44.17219543457031,-500.0258483886719
1232107,0,502.0956788590649,192.8539581298828,-44.17219543457031,-500.0915832519531
1232108,0,502.0895742900494,192.8539581298828,-44.17219543457031,-500.1634216308594
1232109,0,502.083468890032,192.8539581298828,-44.17219543457031,-500.2413635253906
1232110,0,502.09161804712136,192.8539581298828,-44.17219543457031,-500.3254699707031
1232111,0,502.13332157967005,192.8539581298828,-44.17219543457031,-500.4156494140625
1232112,0,502.2001156659363,192.8539581298828,-44.17219543457031,-500.5119323730469
1232113,0,502.28621762597766,192.8539581298828,-44.17219543457031,-500.61431884765625
1232114,0,502.3932478495504,192.8539581298828,-44.17219543457031,-500.7228088378906
1232115,0,502.5098648260502,192.8539581298828,-44.17219543457031,-500.8373718261719
1232116,0,502.63473852255566,192.8539581298828,-44.17219543457031,-500.9580383300781
1232117,0,502.76686354836875,192.8539581298828,-44.17219543457031,-501.0848083496094
1232118,0,502.9055268015673,192.8539581298828,-44.17219543457031,-501.2176513671875
1232119,0,503.05031096059196,192.8539581298828,-44.17219543457031,-501.3565979003906
1232120,0,503.2008989255785,192.8539581298828,-44.17219543457031,-501.5016174316406
1232121,0,503.3571841539125,192.8539581298828,-44.17219543457031,-501.65277099609375
1232122,0,503.5190178800596,192.8539581298828,-44.17219543457031,-501.80999755859375
1232123,0,503.6863643537674,192.8539581298828,-44.17219543457031,-501.9732971191406
1232124,0,503.85919775740985,192.8539581298828,-44.17219543457031,-502.14263916015625
1232125,0,504.0376008649166,192.8539581298828,-44.17219543457031,-502.3180847167969
1232126,0,504.2215804596121,192.8539581298828,-44.17219543457031,-502.4996032714844
1232127,0,504.4112119440432,192.8539581298828,-44.17219543457031,-502.6872253417969
1232128,0,504.60650956537256,192.8539581298828,-44.17219543457031,-502.88092041015625
1232129,0,504.80751947812786,192.8539581298828,-44.17219543457031,-503.0806884765625
1232130,0,505.0142537897037,192.8539581298828,-44.17219543457031,-503.2864990234375
1232131,0,505.2268138988044,192.8539581298828,-44.17219543457031,-503.4984130859375
1232132,0,505.4452359141069,192.8539581298828,-44.17219543457031,-503.7164306640625
1232133,0,505.6694614777658,192.8539581298828,-44.17219543457031,-503.9404602050781
1232134,0,505.8995785416841,192.8539581298828,-44.17219543457031,-504.1705627441406
1232135,0,506.13567264134184,192.8539581298828,-44.17219543457031,-504.40679931640625
1232136,0,506.3776144360116,192.8539581298828,-44.17219543457031,-504.6490173339844
1232137,0,506.62554278721365,192.8539581298828,-44.17219543457031,-504.8973388671875
1232138,0,506.8794144557749,192.8539581298828,-44.17219543457031,-505.1517028808594
1232139,0,507.13927060730316,192.8539581298828,-44.17219543457031,-505.4121398925781
1232140,0,507.4050934380556,192.8539581298828,-44.17219543457031,-505.6786193847656
1232141,0,507.67692299463033,192.8539581298828,-44.17219543457031,-505.951171875
1232142,0,507.9547677911175,192.8539581298828,-44.17219543457031,-506.22979736328125
1232143,0,508.23857249193446,192.8539581298828,-44.17219543457031,-506.5144348144531
1232144,0,508.52840421538605,192.8539581298828,-44.17219543457031,-506.8051452636719
1232145,0,508.82423721564857,192.8539581298828,-44.17219543457031,-507.1018981933594
1232146,0,509.1261057385824,192.8539581298828,-44.17219543457031,-507.40472412109375
1232147,0,509.433982711613,192.8539581298828,-44.17219543457031,-507.7135925292969
1232148,0,509.74784038166405,192.8539581298828,-44.17219543457031,-508.0284729003906
1232149,0,510.0677286988818,192.8539581298828,-44.17219543457031,-508.3494567871094
1232150,0,510.3936148913085,192.8539581298828,-44.17219543457031,-508.6764221191406
1232151,0,510.7255660996429,192.8539581298828,-44.17219543457031,-509.0094909667969
1232152,0,511.0635120289896,192.8539581298828,-44.17219543457031,-509.34857177734375
