ts,agent_id,cvip,cvip_x,cvip_y,cvip_z
4411431,0,502.1322032192853,192.8539581298828,-44.17219543457031,-499.7887268066406
4411432,0,502.1261356798093,192.8539581298828,-44.17219543457031,-499.8239440917969
4411433,0,502.12002781175966,192.8539581298828,-44.17219543457031,-499.865234375
4411434,0,502.1139418312305,192.8539581298828,-44.17219543457031,-499.91265869140625
4411435,0,502.1078489317263,192.8539581298828,-44.17219543457031,-499.9661865234375
4411436,0,502.10178103796426,192.8539581298828,-44.17219543457031,-500.0258483886719
4411437,0,502.0956788590649,192.8539581298828,-44.17219543457031,-500.0915832519531
4411438,0,502.0895742900494,192.8539581298828,-44.17219543457031,-500.1634216308594
4411439,0,502.083468890032,192.8539581298828,-44.17219543457031,-500.2413635253906
4411440,0,502.09161804712136,192.8539581298828,-44.17219543457031,-500.3254699707031
4411441,0,502.13332157967005,192.8539581298828,-44.17219543457031,-500.4156494140625
4411442,0,502.2001156659363,192.8539581298828,-44.17219543457031,-500.5119323730469
4411443,0,502.28621762597766,192.8539581298828,-44.17219543457031,-500.61431884765625
4411444,0,502.3932478495504,192.8539581298828,-44.17219543457031,-500.7228088378906
4411445,0,502.5098648260502,192.8539581298828,-44.17219543457031,-500.8373718261719
4411446,0,502.63473854482885,192.8539581298828,-44.17219543457031,-500.9580383300781
4411447,0,502.76686227094524,192.8539581298828,-44.17219543457031,-501.0848083496094
4411448,0,502.905526200154,192.8539581298828,-44.17219543457031,-501.2176513671875
4411449,0,503.0503096838882,192.8539581298828,-44.17219543457031,-501.3565979003906
4411450,0,503.2008982874174,192.8539581298828,-44.17219543457031,-501.5016174316406
4411451,0,503.35718351594915,192.8539581298828,-44.17219543457031,-501.65277099609375
4411452,0,503.51901664166473,192.8539581298828,-44.17219543457031,-501.80999755859375
4411453,0,503.68636367909767,192.8539581298828,-44.17219543457031,-501.9732971191406
4411454,0,503.85919708295825,192.8539581298828,-44.17219543457031,-502.14263916015625
4411455,0,504.0375995535867,192.8539581298828,-44.17219543457031,-502.3180847167969
4411456,0,504.22157978561785,192.8539581298828,-44.17219543457031,-502.4996032714844
4411457,0,504.4112113074109,192.8539581298828,-44.17219543457031,-502.6872253417969
4411458,0,504.60650896610946,192.8539581298828,-44.17219543457031,-502.88092041015625
4411459,0,504.80751820586204,192.8539581298828,-44.17219543457031,-503.0806884765625
4411460,0,505.01425319281043,192.8539581298828,-44.17219543457031,-503.2864990234375
4411461,0,505.22681330217864,192.8539581298828,-44.17219543457031,-503.4984130859375
4411462,0,505.4452352787762,192.8539581298828,-44.17219543457031,-503.7164306640625
4411463,0,505.6694602076675,192.8539581298828,-44.17219543457031,-503.9404602050781
4411464,0,505.8995778679437,192.8539581298828,-44.17219543457031,-504.1705627441406
4411465,0,506.1356719678974,192.8539581298828,-44.17219543457031,-504.40679931640625
4411466,0,506.3776138389742,192.8539581298828,-44.17219543457031,-504.6490173339844
4411467,0,506.6255421904867,192.8539581298828,-44.17219543457031,-504.8973388671875
4411468,0,506.8794131887075,192.8539581298828,-44.17219543457031,-505.1517028808594
4411469,0,507.13926934088494,192.8539581298828,-44.17219543457031,-505.4121398925781
4411470,0,507.40509221128156,192.8539581298828,-44.17219543457031,-505.6786193847656
4411471,0,507.6769217295533,192.8539581298828,-44.17219543457031,-505.951171875
4411472,0,507.9547671960496,192.8539581298828,-44.17219543457031,-506.22979736328125
4411473,0,508.2385719362009,192.8539581298828,-44.17219543457031,-506.5144348144531
4411474,0,508.5284035839065,192.8539581298828,-44.17219543457031,-506.8051452636719
4411475,0,508.82423658453615,192.8539581298828,-44.17219543457031,-507.1018981933594
4411476,0,509.1261051078442,192.8539581298828,-44.17219543457031,-507.40472412109375
4411477,0,509.433982081256,192.8539581298828,-44.17219543457031,-507.7135925292969
4411478,0,509.74783975169515,192.8539581298828,-44.17219543457031,-508.0284729003906
4411479,0,510.067728069308,192.8539581298828,-44.17219543457031,-508.3494567871094
4411480,0,510.3936142250107,192.8539581298828,-44.17219543457031,-508.6764221191406
4411481,0,510.72556547088,192.8539581298828,-44.17219543457031,-509.0094909667969
4411482,0,511.0635114006424,192.8539581298828,-44.17219543457031,-509.34857177734375
4411483,0,511.4074810994851,192.8539581298828,-44.17219543457031,-509.6936950683594
4411484,0,511.75744332155807,192.8539581298828,-44.17219543457031,-510.0448303222656
4411485,0,512.1134281439524,192.8539581298828,-44.17219543457031,-510.4020080566406
4411486,0,512.4754656825556,192.8539581298828,-44.17219543457031,-510.7652587890625
4411487,0,512.8434950765687,192.8539581298828,-44.17219543457031,-511.134521484375
4411488,0,513.2175164468181,192.8539581298828,-44.17219543457031,-511.5097961425781
4411489,0,513.5975602966786,192.8539581298828,-44.17219543457031,-511.89111328125
4411490,0,513.9835964087221,192.8539581298828,-44.17219543457031,-512.2784423828125
4411491,0,514.3757163047885,192.8539581298828,-44.17219543457031,-512.671875
4411492,0,514.7737984905904,192.8539581298828,-44.17219543457031,-513.0712890625
4411493,0,515.1778438671822,192.8539581298828,-44.17219543457031,-513.4766845703125
4411494,0,515.5879121081612,192.8539581298828,-44.17219543457031,-513.8881225585938
4411495,0,516.0040041179901,192.8539581298828,-44.17219543457031,-514.3056030273438
4411496,0,516.4260558505257,192.8539581298828,-44.17219543457031,-514.7290649414062
4411497,0,516.8541351883185,192.8539581298828,-44.17219543457031,-515.1585693359375
4411498,0,517.2882378127383,192.8539581298828,-44.17219543457031,-515.5941162109375
4411499,0,517.7282439033063,192.8539581298828,-44.17219543457031,-516.0355834960938
4411500,0,518.1743358648644,192.8539581298828,-44.17219543457031,-516.483154296875
