ts,agent_id,throttle,steer,brake
3040970,0,0.20045357942581177,-0.0019119478529319167,0.0
3040971,0,0.1997045874595642,-0.0029702871106565,0.0
3040972,0,0.12804092466831207,-0.003253206377848983,0.0
3040973,0,0.12882065773010254,-0.0006873987731523812,0.0
3040974,0,0.12237861007452011,-0.0007282461738213897,0.0
3040975,0,0.11557402461767197,-0.0001895605237223208,0.0
3040976,0,0.0,0.00039440783439204097,1.0
3040977,0,0.0,-0.0016812538960948586,1.0
3040978,0,0.0,-0.003056546673178673,1.0
3040979,0,0.0,-0.0011225159978494048,1.0
3040980,0,0.0,-0.0012387686874717474,1.0
3040981,0,0.0,-0.00011104891746072099,1.0
3040982,0,0.0,0.0004254851955920458,1.0
3040983,0,0.0,-0.0003571306588128209,1.0
3040984,0,0.0,-0.0028849609661847353,1.0
3040985,0,0.0,-0.004282064735889435,1.0
3040986,0,0.0,-0.00381086696870625,1.0
3040987,0,0.0,-0.004742415156215429,1.0
3040988,0,0.0,-0.002471555257216096,1.0
3040989,0,0.0,-0.003010239452123642,1.0
3040990,0,0.0,-0.0042473203502595425,1.0
3040991,0,0.0,-0.008527372032403946,1.0
3040992,0,0.0,-0.006511506624519825,1.0
3040993,0,0.0,-0.00783596746623516,1.0
3040994,0,0.0,-0.008825613185763359,1.0
3040995,0,0.0,-0.0034421905875205994,1.0
3040996,0,0.0,-0.0022822266910225153,1.0
3040997,0,0.0,0.0010083095403388143,1.0
3040998,0,0.0,0.005750914104282856,1.0
3040999,0,0.0,0.007419483736157417,1.0
3041000,0,0.0,0.005220542661845684,1.0
3041001,0,0.0,0.007848809473216534,1.0
3041002,0,0.0,0.01504355575889349,1.0
3041003,0,0.0,0.018788166344165802,1.0
3041004,0,0.0,0.02492568828165531,1.0
3041005,0,0.0,0.030313367024064064,1.0
3041006,0,0.0,0.025897450745105743,1.0
3041007,0,0.0,0.02210683375597,1.0
3041008,0,0.0,0.024172518402338028,1.0
3041009,0,0.0,0.022512385621666908,1.0
3041010,0,0.0,0.02154313027858734,1.0
3041011,0,0.0,0.019284283742308617,1.0
3041012,0,0.0,0.01875224895775318,1.0
3041013,0,0.0,0.017145344987511635,1.0
3041014,0,0.0,0.016371048986911774,1.0
3041015,0,0.0,0.01333721075206995,1.0
3041016,0,0.0,0.01075770054012537,1.0
3041017,0,0.0,0.008890296332538128,1.0
3041018,0,0.0,0.0074513377621769905,1.0
3041019,0,0.0,0.0060801575891673565,1.0
3041020,0,0.0,0.005878016818314791,1.0
3041021,0,0.0,0.006043477915227413,1.0
3041022,0,0.0,0.005438794381916523,1.0
3041023,0,0.0,0.00615859217941761,1.0
3041024,0,0.0,0.00594952329993248,1.0
3041025,0,0.0,0.0061197043396532536,1.0
