cloudiness,precipitation,precipitation_deposits,sun_altitude_angle,sun_azimuth_angle,wetness,fog_density,wind_intensity
20,0,0,70,0,0,0,10,0
20,0,0,50,0,0,0,10,0
20,0,0,30,0,0,0,10,0
20,0,0,10,0,0,0,10,0
20,0,0,3,0,0,0,10,0
20,0,0,1,0,0,0,10,0
20,0,0,-1,0,0,0,10,0
20,0,0,-3,0,0,0,10,0
20,0,0,-5,0,0,0,10,0
