cloudiness,precipitation,precipitation_deposits,sun_altitude_angle,sun_azimuth_angle,wetness,fog_density,wind_intensity
20,0,0,5,0,0,0,10,0
20,0,0,5,90,0,0,10,0
20,0,0,5,180,0,0,10,0
20,0,0,5,270,0,0,10,0
