cloudiness,precipitation,precipitation_deposits,sun_altitude_angle,sun_azimuth_angle,wetness,fog_density,wind_intensity
20,0,0,70,0,10,0,10,10
20,0,0,70,0,30,0,10,30
20,0,0,70,0,70,0,10,70
20,0,0,70,0,100,0,10,100
