ts,agent_id,throttle,steer,brake
2348964,0,0.8999999761581421,0.005399969406425953,0.0
2348965,0,0.8999999761581421,0.0032622262369841337,0.0
2348966,0,0.8999999761581421,0.002381175523623824,0.0
2348967,0,0.8999999761581421,0.0031177112832665443,0.0
2348968,0,0.8999999761581421,0.002834114246070385,0.0
2348969,0,0.8999999761581421,0.0027605241630226374,0.0
2348970,0,0.8999999761581421,0.0025995017495006323,0.0
2348971,0,0.8999999761581421,0.002569891046732664,0.0
2348972,0,0.8999999761581421,0.0027898666448891163,0.0
2348973,0,0.8999999761581421,0.002595161786302924,0.0
2348974,0,0.8999999761581421,0.00221918779425323,0.0
2348975,0,0.8999999761581421,0.001741470885463059,0.0
2348976,0,0.8999999761581421,0.001958549488335848,0.0
2348977,0,0.8999999761581421,0.0017875523772090673,0.0
2348978,0,0.8999999761581421,0.0020777664612978697,0.0
2348979,0,0.8999999761581421,0.0019094018498435616,0.0
2348980,0,0.8999999761581421,0.001900835195556283,0.0
2348981,0,0.8999999761581421,0.0018065125914290547,0.0
2348982,0,0.8999999761581421,0.0016330721555277705,0.0
2348983,0,0.8999999761581421,0.0016347934724763036,0.0
2348984,0,0.8999999761581421,0.0016288065817207098,0.0
2348985,0,0.8999999761581421,0.0017359332414343953,0.0
2348986,0,0.8999999761581421,0.00160706986207515,0.0
2348987,0,0.8999999761581421,0.001865717233158648,0.0
2348988,0,0.8999999761581421,0.0020728763192892075,0.0
2348989,0,0.8999999761581421,0.001981317065656185,0.0
2348990,0,0.8999999761581421,0.0019113683374598622,0.0
2348991,0,0.8999999761581421,0.0019271484343335032,0.0
2348992,0,0.8999999761581421,0.0019757018890231848,0.0
2348993,0,0.8999999761581421,0.0019408375956118107,0.0
2348994,0,0.8999999761581421,0.0020999605767428875,0.0
2348995,0,0.8999999761581421,0.002166982740163803,0.0
2348996,0,0.8999999761581421,0.0022032619453966618,0.0
2348997,0,0.8999999761581421,0.0020594715606421232,0.0
2348998,0,0.8999999761581421,0.002121769590303302,0.0
2348999,0,0.8999999761581421,0.0021758100483566523,0.0
2349000,0,0.8999999761581421,0.0020845469553023577,0.0
