ts,agent_id,x,y,z,v
1195259,0,192.36241149902344,-86.26268005371094,0.5760391354560852,0.0
1195260,0,192.36241149902344,-86.26268005371094,0.5347328782081604,0.0
1195261,0,192.36241149902344,-86.26268005371094,0.4873131513595581,0.0
1195262,0,192.36241149902344,-86.26268005371094,0.43378135561943054,0.0
1195263,0,192.36241149902344,-86.26268005371094,0.37413910031318665,0.0
1195264,0,192.36241149902344,-86.26268005371094,0.3083879053592682,0.0
1195265,0,192.36241149902344,-86.26268005371094,0.23652930557727814,0.0
1195266,0,192.36241149902344,-86.26268005371094,0.15856479108333588,0.0
1195267,0,192.36241149902344,-86.26268005371094,0.07449592649936676,0.0
1195268,0,192.36241149902344,-86.26268005371094,-0.0014325713273137808,6.91404716873919e-08
1195269,0,192.36241149902344,-86.26268005371094,-0.04976116120815277,2.0413633350010746e-07
1195270,0,192.36241149902344,-86.26268005371094,-0.0790141299366951,5.2435586487311754e-08
1195271,0,192.36241149902344,-86.26268005371094,-0.09499464184045792,8.288878870872907e-08
1195272,0,192.36241149902344,-86.26268005371094,-0.09607665985822678,0.0018326074521050754
1195273,0,192.36241149902344,-86.2625503540039,-0.09360036998987198,0.006434453617063018
1195274,0,192.36244201660156,-86.26248168945312,-0.08894706517457962,0.0026654906826327125
1195275,0,192.36244201660156,-86.262451171875,-0.08312385529279709,0.0007266093770030441
1195276,0,192.36244201660156,-86.26243591308594,-0.07681392133235931,0.00026727916441430307
1195277,0,192.36245727539062,-86.262451171875,-0.07046787440776825,0.0007197525179459938
1195278,0,192.36245727539062,-86.26246643066406,-0.06437091529369354,0.0009063643816126904
1195279,0,192.36244201660156,-86.26248931884766,-0.05869167298078537,0.0009502477448246003
1195280,0,192.36244201660156,-86.26251983642578,-0.05351836979389191,0.0009210038479298467
1195281,0,192.36241149902344,-86.26253509521484,-0.04888515546917915,0.0008576131109134897
1195282,0,192.36241149902344,-86.26256561279297,-0.044789884239435196,0.0007795938210866728
1195283,0,192.36244201660156,-86.26258850097656,-0.04120860993862152,0.0006992683105916501
1195284,0,192.36245727539062,-86.26260375976562,-0.03810413181781769,0.0006212259853798562
1195285,0,192.36245727539062,-86.26262664794922,-0.03543258458375931,0.0005484919317724826
1195286,0,192.3624725341797,-86.26264190673828,-0.03314792737364769,0.00048243011476245735
1195287,0,192.3625030517578,-86.26265716552734,-0.031204603612422943,0.00042307518830997197
1195288,0,192.3625030517578,-86.26266479492188,-0.029559288173913956,0.00037024441736924663
1195289,0,192.3625030517578,-86.2626724243164,-0.028171958401799202,0.0003234751277616695
1195290,0,192.36251831054688,-86.26268005371094,-0.02700645476579666,0.00028257446737733606
1195291,0,192.36251831054688,-86.2626953125,-0.026030387729406357,0.0002466987451720175
1195292,0,192.36251831054688,-86.26270294189453,-0.025215454399585724,0.00021488991242130697
1195293,0,192.36253356933594,-86.26270294189453,-0.0245367418974638,0.00018714068065483916
1195294,0,192.36253356933594,-86.26271057128906,-0.023972854018211365,0.00016282898783566852
1195295,0,192.36253356933594,-86.26271057128906,-0.0235054399818182,0.00014192766477343202
1195296,0,192.36253356933594,-86.26272583007812,-0.02311866730451584,0.000123497359610977
1195297,0,192.36253356933594,-86.26272583007812,-0.022799339145421982,0.00010725907907989245
1195298,0,192.362548828125,-86.26272583007812,-0.02253604866564274,9.360669274538699e-05
1195299,0,192.362548828125,-86.26272583007812,-0.022319259122014046,8.158726355988338e-05
1195300,0,192.362548828125,-86.26273345947266,-0.0221411120146513,7.077467906692397e-05
1195301,0,192.362548828125,-86.26273345947266,-0.021994896233081818,6.175004466020937e-05
1195302,0,192.362548828125,-86.26273345947266,-0.02187499962747097,5.3681816277862594e-05
1195303,0,192.362548828125,-86.26273345947266,-0.02177680842578411,4.661999754162078e-05
1195304,0,192.362548828125,-86.26273345947266,-0.02169654704630375,4.033128795244286e-05
1195305,0,192.362548828125,-86.26273345947266,-0.02163093537092209,3.542209454722404e-05
1195306,0,192.362548828125,-86.26273345947266,-0.0215773768723011,3.078035006560687e-05
1195307,0,192.362548828125,-86.26273345947266,-0.0215773768723011,0.0
1195308,0,192.362548828125,-86.26273345947266,-0.021541861817240715,3.4671313686375864e-06
1195309,0,192.362548828125,-86.26273345947266,-0.021525496616959572,2.9450661167829607e-06
1195310,0,192.362548828125,-86.26273345947266,-0.02150745317339897,2.957912781035413e-06
1195311,0,192.362548828125,-86.26273345947266,-0.02148914337158203,2.834738854627026e-06
1195312,0,192.362548828125,-86.26273345947266,-0.021471481770277023,2.5980298295045894e-06
1195313,0,192.362548828125,-86.26273345947266,-0.021454887464642525,2.3622401676299402e-06
