ts,agent_id,x,y,z,v
3318824,0,192.36241149902344,-86.26268005371094,0.5760391354560852,0.0
3318825,0,192.36241149902344,-86.26268005371094,0.5347328782081604,0.0
3318826,0,192.36241149902344,-86.26268005371094,0.4873131513595581,0.0
3318827,0,192.36241149902344,-86.26268005371094,0.43378135561943054,0.0
3318828,0,192.36241149902344,-86.26268005371094,0.37413910031318665,0.0
3318829,0,192.36241149902344,-86.26268005371094,0.3083879053592682,0.0
3318830,0,192.36241149902344,-86.26268005371094,0.23652930557727814,0.0
3318831,0,192.36241149902344,-86.26268005371094,0.15856479108333588,0.0
3318832,0,192.36241149902344,-86.26268005371094,0.07449592649936676,0.0
3318833,0,192.36241149902344,-86.26268005371094,-0.0014325713273137808,6.90042263491347e-08
3318834,0,192.36241149902344,-86.26268005371094,-0.04976116120815277,2.0478669218367755e-07
3318835,0,192.36241149902344,-86.26268005371094,-0.0790141299366951,5.240043937445895e-08
3318836,0,192.36241149902344,-86.26268005371094,-0.09499464184045792,8.289207988763315e-08
3318837,0,192.36241149902344,-86.26268005371094,-0.09607665985822678,0.0018441780563267312
3318838,0,192.36241149902344,-86.2625503540039,-0.0936003252863884,0.006453126269657138
3318839,0,192.36244201660156,-86.26248168945312,-0.08894704282283783,0.0026744975305358163
3318840,0,192.36244201660156,-86.26243591308594,-0.08312385529279709,0.0007302563141708931
3318841,0,192.36244201660156,-86.2624282836914,-0.07681388407945633,0.0002658564420551099
3318842,0,192.36245727539062,-86.26243591308594,-0.07046787440776825,0.0007197103037076703
3318843,0,192.36245727539062,-86.26245880126953,-0.06437091529369354,0.0009067629071938428
3318844,0,192.36244201660156,-86.26248168945312,-0.05869167298078537,0.0009508752818496019
3318845,0,192.36244201660156,-86.26250457763672,-0.05351840704679489,0.0009217544554706896
3318846,0,192.36241149902344,-86.26252746582031,-0.04888511449098587,0.0008585132707104596
3318847,0,192.36241149902344,-86.26255798339844,-0.04478984698653221,0.000780790872095115
3318848,0,192.36244201660156,-86.2625732421875,-0.041208572685718536,0.0007000702117446884
3318849,0,192.36245727539062,-86.2625961303711,-0.0381040945649147,0.0006223256981830226
3318850,0,192.36245727539062,-86.26261901855469,-0.03543254733085632,0.0005496276970335233
3318851,0,192.3624725341797,-86.26263427734375,-0.03314792737364769,0.00048329674104441987
3318852,0,192.3625030517578,-86.26264190673828,-0.031204603612422943,0.0004239899500177817
3318853,0,192.3625030517578,-86.26265716552734,-0.029559249058365822,0.0003711486875421046
3318854,0,192.3625030517578,-86.26266479492188,-0.028171958401799202,0.00032396494023666266
3318855,0,192.36251831054688,-86.2626724243164,-0.02700645476579666,0.00028298015841053415
3318856,0,192.36251831054688,-86.26268005371094,-0.026030387729406357,0.0002470631390968944
3318857,0,192.36251831054688,-86.2626953125,-0.02521549165248871,0.00021523823262495137
3318858,0,192.36253356933594,-86.2626953125,-0.024536781013011932,0.00018741076401011765
3318859,0,192.36253356933594,-86.26270294189453,-0.0239728931337595,0.0001632987422852454
3318860,0,192.36253356933594,-86.26270294189453,-0.023505477234721184,0.00014212114028066037
3318861,0,192.36253356933594,-86.26271057128906,-0.023118704557418823,0.00012345693176073037
3318862,0,192.36253356933594,-86.26271057128906,-0.022799339145421982,0.00010746499716185688
3318863,0,192.362548828125,-86.26271057128906,-0.022536009550094604,9.389500309938435e-05
3318864,0,192.362548828125,-86.26271057128906,-0.022319259122014046,8.165710141408955e-05
3318865,0,192.362548828125,-86.26272583007812,-0.022141074761748314,7.126649107296828e-05
3318866,0,192.362548828125,-86.26272583007812,-0.0219948198646307,6.155470683973669e-05
3318867,0,192.362548828125,-86.26272583007812,-0.02187499962747097,5.3685322917631754e-05
3318868,0,192.362548828125,-86.26272583007812,-0.02177680842578411,4.673817968863255e-05
3318869,0,192.362548828125,-86.26272583007812,-0.02169654704630375,4.044756670612093e-05
3318870,0,192.362548828125,-86.26272583007812,-0.02163093537092209,3.5523052890616385e-05
3318871,0,192.362548828125,-86.26272583007812,-0.0215773768723011,3.047679083864495e-05
3318872,0,192.362548828125,-86.26272583007812,-0.0215773768723011,0.0
3318873,0,192.362548828125,-86.26272583007812,-0.021541861817240715,3.467863762496146e-06
3318874,0,192.362548828125,-86.26272583007812,-0.021525496616959572,2.8850254560064336e-06
3318875,0,192.362548828125,-86.26272583007812,-0.02150745317339897,2.971669134285234e-06
3318876,0,192.362548828125,-86.26272583007812,-0.02148914337158203,2.8364717439522158e-06
3318877,0,192.362548828125,-86.26272583007812,-0.021471481770277023,2.5998528988892286e-06
3318878,0,192.362548828125,-86.26272583007812,-0.021454887464642525,2.316485947763772e-06
3318879,0,192.362548828125,-86.26272583007812,-0.021439742296934128,2.108165014440809e-06
3318880,0,192.362548828125,-86.26272583007812,-0.021426161751151085,1.9069739851721892e-06
3318881,0,192.362548828125,-86.26272583007812,-0.02141410857439041,1.6325323080111437e-06
3318882,0,192.362548828125,-86.26272583007812,-0.02140357904136181,1.3323601210070035e-06
3318883,0,192.362548828125,-86.26272583007812,-0.021394461393356323,1.1892868693087159e-06
3318884,0,192.362548828125,-86.26272583007812,-0.021386565640568733,1.059370523649126e-06
3318885,0,192.362548828125,-86.26272583007812,-0.02137981355190277,9.55609254482609e-07
3318886,0,192.362548828125,-86.26273345947266,-0.021374015137553215,8.038244680414991e-07
3318887,0,192.362548828125,-86.26273345947266,-0.021369170397520065,7.012335129935041e-07
3318888,0,192.362548828125,-86.26273345947266,-0.0213650893419981,5.984642568250889e-07
3318889,0,192.362548828125,-86.26273345947266,-0.0213650893419981,0.0
3318890,0,192.362548828125,-86.26273345947266,-0.021362189203500748,3.817677782840457e-07
3318891,0,192.362548828125,-86.26273345947266,-0.021360816434025764,3.8172919328651805e-07
3318892,0,192.362548828125,-86.26273345947266,-0.021359214559197426,3.538096000544469e-07
3318893,0,192.362548828125,-86.26273345947266,-0.021357573568820953,2.9977983528084477e-07
3318894,0,192.362548828125,-86.26273345947266,-0.021356048062443733,3.302149615014468e-07
3318895,0,192.362548828125,-86.26273345947266,-0.021354559808969498,2.2343293008030057e-07
3318896,0,192.362548828125,-86.26273345947266,-0.021353187039494514,2.9482713070082973e-07
3318897,0,192.362548828125,-86.26273345947266,-0.021352004259824753,1.8770072707096874e-07
3318898,0,192.362548828125,-86.26273345947266,-0.021350974217057228,2.520594164835141e-07
3318899,0,192.362548828125,-86.26273345947266,-0.021350974217057228,1.4091574650059326e-07
3318900,0,192.362548828125,-86.26273345947266,-0.021349182352423668,1.5180680182805782e-07
