ts,agent_id,cvip,cvip_x,cvip_y,cvip_z
3807876,0,502.1322032192853,192.8539581298828,-44.17219543457031,-499.7887268066406
3807877,0,502.1261356798093,192.8539581298828,-44.17219543457031,-499.8239440917969
3807878,0,502.12002781175966,192.8539581298828,-44.17219543457031,-499.865234375
3807879,0,502.1139418312305,192.8539581298828,-44.17219543457031,-499.91265869140625
3807880,0,502.1078489317263,192.8539581298828,-44.17219543457031,-499.9661865234375
3807881,0,502.10178103796426,192.8539581298828,-44.17219543457031,-500.0258483886719
3807882,0,502.0956788590649,192.8539581298828,-44.17219543457031,-500.0915832519531
3807883,0,502.0895742900494,192.8539581298828,-44.17219543457031,-500.1634216308594
3807884,0,502.083468890032,192.8539581298828,-44.17219543457031,-500.2413635253906
3807885,0,502.09161804712136,192.8539581298828,-44.17219543457031,-500.3254699707031
3807886,0,502.13332157967005,192.8539581298828,-44.17219543457031,-500.4156494140625
3807887,0,502.2001156659363,192.8539581298828,-44.17219543457031,-500.5119323730469
3807888,0,502.28621762597766,192.8539581298828,-44.17219543457031,-500.61431884765625
3807889,0,502.3932478495504,192.8539581298828,-44.17219543457031,-500.7228088378906
3807890,0,502.5098648260502,192.8539581298828,-44.17219543457031,-500.8373718261719
3807891,0,502.63473852255566,192.8539581298828,-44.17219543457031,-500.9580383300781
3807892,0,502.76686227094524,192.8539581298828,-44.17219543457031,-501.0848083496094
3807893,0,502.9055261630318,192.8539581298828,-44.17219543457031,-501.2176513671875
3807894,0,503.0503096838882,192.8539581298828,-44.17219543457031,-501.3565979003906
3807895,0,503.2008982874174,192.8539581298828,-44.17219543457031,-501.5016174316406
3807896,0,503.35718351594915,192.8539581298828,-44.17219543457031,-501.65277099609375
3807897,0,503.51901660454223,192.8539581298828,-44.17219543457031,-501.80999755859375
3807898,0,503.6863637162203,192.8539581298828,-44.17219543457031,-501.9732971191406
3807899,0,503.859197120081,192.8539581298828,-44.17219543457031,-502.14263916015625
3807900,0,504.0375995907095,192.8539581298828,-44.17219543457031,-502.3180847167969
3807901,0,504.22157978561785,192.8539581298828,-44.17219543457031,-502.4996032714844
3807902,0,504.4112113074109,192.8539581298828,-44.17219543457031,-502.6872253417969
3807903,0,504.60650896610946,192.8539581298828,-44.17219543457031,-502.88092041015625
3807904,0,504.8075182429852,192.8539581298828,-44.17219543457031,-503.0806884765625
3807905,0,505.01425319281043,192.8539581298828,-44.17219543457031,-503.2864990234375
3807906,0,505.22681330217864,192.8539581298828,-44.17219543457031,-503.4984130859375
3807907,0,505.4452352787762,192.8539581298828,-44.17219543457031,-503.7164306640625
3807908,0,505.6694602076675,192.8539581298828,-44.17219543457031,-503.9404602050781
3807909,0,505.8995778679437,192.8539581298828,-44.17219543457031,-504.1705627441406
3807910,0,506.1356719678974,192.8539581298828,-44.17219543457031,-504.40679931640625
3807911,0,506.3776138389742,192.8539581298828,-44.17219543457031,-504.6490173339844
3807912,0,506.62554215336263,192.8539581298828,-44.17219543457031,-504.8973388671875
3807913,0,506.8794131887075,192.8539581298828,-44.17219543457031,-505.1517028808594
3807914,0,507.13926934088494,192.8539581298828,-44.17219543457031,-505.4121398925781
3807915,0,507.40509221128156,192.8539581298828,-44.17219543457031,-505.6786193847656
3807916,0,507.6769217295533,192.8539581298828,-44.17219543457031,-505.951171875
3807917,0,507.9547671960496,192.8539581298828,-44.17219543457031,-506.22979736328125
3807918,0,508.2385719362009,192.8539581298828,-44.17219543457031,-506.5144348144531
3807919,0,508.5284035839065,192.8539581298828,-44.17219543457031,-506.8051452636719
3807920,0,508.82423658453615,192.8539581298828,-44.17219543457031,-507.1018981933594
3807921,0,509.1261051078442,192.8539581298828,-44.17219543457031,-507.40472412109375
3807922,0,509.433982081256,192.8539581298828,-44.17219543457031,-507.7135925292969
3807923,0,509.74783975169515,192.8539581298828,-44.17219543457031,-508.0284729003906
3807924,0,510.067728069308,192.8539581298828,-44.17219543457031,-508.3494567871094
3807925,0,510.3936142250107,192.8539581298828,-44.17219543457031,-508.6764221191406
3807926,0,510.72556547088,192.8539581298828,-44.17219543457031,-509.0094909667969
3807927,0,511.0635114006424,192.8539581298828,-44.17219543457031,-509.34857177734375
3807928,0,511.40748102337574,192.8539581298828,-44.17219543457031,-509.6936950683594
3807929,0,511.75744332155807,192.8539581298828,-44.17219543457031,-510.0448303222656
3807930,0,512.1134281068255,192.8539581298828,-44.17219543457031,-510.4020080566406
3807931,0,512.4754656825556,192.8539581298828,-44.17219543457031,-510.7652587890625
3807932,0,512.8434950765687,192.8539581298828,-44.17219543457031,-511.134521484375
3807933,0,513.2175164468181,192.8539581298828,-44.17219543457031,-511.5097961425781
3807934,0,513.5975602966786,192.8539581298828,-44.17219543457031,-511.89111328125
3807935,0,513.9835964458499,192.8539581298828,-44.17219543457031,-512.2784423828125
3807936,0,514.3757163047885,192.8539581298828,-44.17219543457031,-512.671875
3807937,0,514.7737984905904,192.8539581298828,-44.17219543457031,-513.0712890625
3807938,0,515.1778438281974,192.8539581298828,-44.17219543457031,-513.4766845703125
3807939,0,515.5879121081612,192.8539581298828,-44.17219543457031,-513.8881225585938
3807940,0,516.0040040808614,192.8539581298828,-44.17219543457031,-514.3056030273438
3807941,0,516.4260558133967,192.8539581298828,-44.17219543457031,-514.7290649414062
3807942,0,516.8541351883185,192.8539581298828,-44.17219543457031,-515.1585693359375
3807943,0,517.2882378498678,192.8539581298828,-44.17219543457031,-515.5941162109375
3807944,0,517.7282439422924,192.8539581298828,-44.17219543457031,-516.0355834960938
3807945,0,518.1743359019941,192.8539581298828,-44.17219543457031,-516.483154296875
3807946,0,518.6263920107737,192.8539581298828,-44.17219543457031,-516.9367065429688
3807947,0,519.0844732755576,192.8539581298828,-44.17219543457031,-517.3963012695312
3807948,0,519.5485188824497,192.8539581298828,-44.17219543457031,-517.8618774414062
3807949,0,520.018528855528,192.8539581298828,-44.17219543457031,-518.3334350585938
3807950,0,520.4945641663071,192.8539581298828,-44.17219543457031,-518.81103515625
3807951,0,520.9765632057979,192.8539581298828,-44.17219543457031,-519.2946166992188
3807952,0,521.4645896862655,192.8539581298828,-44.17219543457031,-519.7842407226562
3807953,0,521.9585793762253,192.8539581298828,-44.17219543457031,-520.2798461914062
3807954,0,522.458596257595,192.8539581298828,-44.17219543457031,-520.781494140625
3807955,0,522.9645161721995,192.8539581298828,-44.17219543457031,-521.2890625
3807956,0,523.4764621916559,192.8539581298828,-44.17219543457031,-521.8026733398438
3807957,0,523.9943749519867,192.8539581298828,-44.17219543457031,-522.322265625
3807958,0,524.5183126599472,192.8539581298828,-44.17219543457031,-522.847900390625
3807959,0,525.0481551134561,192.8539581298828,-44.17219543457031,-523.3794555664062
3807960,0,525.5839632568615,192.8539581298828,-44.17219543457031,-523.9169921875
3807961,0,526.1257980367508,192.8539581298828,-44.17219543457031,-524.4605712890625
3807962,0,526.6735987221551,192.8539581298828,-44.17219543457031,-525.0101318359375
3807963,0,527.2273654214104,192.8539581298828,-44.17219543457031,-525.565673828125
