,x,y,v,cvip,steer,brake,throttle
rain-sunset-0_front_accident,0.03,0.84,0.39,0.66,0.02,0.5,0.35
rain-sunset-20_front_accident,4.5,455.82,85.38,444.55,0.33,5.0,2.92
rain-sunset-40_front_accident,1.8,355.26,45.66,448.48,0.18,3.54,3.11
rain-sunset-60_front_accident,0.17,2.1,16.81,237.21,0.09,3.57,3.16
rain-sunset-80_front_accident,0.03,1.9,83.15,130.84,0.09,3.81,3.25
rain-sunset-100_front_accident,4.29,337.84,5.09,47.96,0.05,3.28,2.21
