,x,y,v,cvip,steer,brake,throttle
clear-noon-icy-0_ghost_cutin,0.02,1.13,0.34,1.14,0.01,0.5,0.2
clear-noon-icy-10_ghost_cutin,0.04,1.42,0.69,1.06,0.03,0.0,0.63
clear-noon-icy-30_ghost_cutin,1.95,459.88,46.36,491.79,0.07,2.83,2.36
clear-noon-icy-70_ghost_cutin,0.6,1.74,10.34,286.06,0.23,3.0,2.32
clear-noon-icy-100_ghost_cutin,0.49,1.44,7.27,262.66,0.32,1.41,2.08
