,x,y,v,cvip,steer,brake,throttle
rain-sunset-0_ghost_cutin,0.0,0.26,0.05,0.87,0.0,0.0,0.05
rain-sunset-20_ghost_cutin,0.05,1.48,4.03,9.78,0.04,2.24,0.68
rain-sunset-40_ghost_cutin,0.09,2.44,1.49,4.54,0.05,0.0,0.92
rain-sunset-60_ghost_cutin,0.11,1.64,3.07,5.1,0.03,0.87,1.11
rain-sunset-80_ghost_cutin,0.26,1.44,1.59,5.06,0.03,2.12,1.87
rain-sunset-100_ghost_cutin,0.25,1.57,1.36,203.96,0.03,1.22,1.38
