,x,y,v,cvip,steer,brake,throttle
original rain_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfixed rain_0,3.24,517.41,45.32,609.67,0.08,3.04,3.55
fixed rain_0,0.25,1.66,2.98,7.95,0.16,2.24,1.11
